gs_name	gene
MSigDB hallmark inflammatory response	ENSG00000132155
MSigDB hallmark inflammatory response	ENSG00000172575
MSigDB hallmark inflammatory response	ENSG00000173039
MSigDB hallmark inflammatory response	ENSG00000090104
MSigDB hallmark inflammatory response	ENSG00000143333
MSigDB hallmark inflammatory response	ENSG00000177105
MSigDB hallmark inflammatory response	ENSG00000104312
MSigDB hallmark inflammatory response	ENSG00000137393
MSigDB hallmark inflammatory response	ENSG00000047936
MSigDB hallmark inflammatory response	ENSG00000136514
MSigDB hallmark inflammatory response	ENSG00000074660
MSigDB hallmark inflammatory response	ENSG00000276336
MSigDB hallmark inflammatory response	ENSG00000105711
MSigDB hallmark inflammatory response	ENSG00000007908
MSigDB hallmark inflammatory response	ENSG00000131871
MSigDB hallmark inflammatory response	ENSG00000188404
MSigDB hallmark inflammatory response	ENSG00000187764
MSigDB hallmark inflammatory response	ENSG00000106366
MSigDB hallmark inflammatory response	ENSG00000164023
MSigDB hallmark inflammatory response	ENSG00000117090
MSigDB hallmark inflammatory response	ENSG00000110911
MSigDB hallmark inflammatory response	ENSG00000110436
MSigDB hallmark inflammatory response	ENSG00000137860
MSigDB hallmark inflammatory response	ENSG00000136868
MSigDB hallmark inflammatory response	ENSG00000136867
MSigDB hallmark inflammatory response	ENSG00000080493
MSigDB hallmark inflammatory response	ENSG00000139514
MSigDB hallmark inflammatory response	ENSG00000003989
MSigDB hallmark inflammatory response	ENSG00000176170
MSigDB hallmark inflammatory response	ENSG00000075142
MSigDB hallmark inflammatory response	ENSG00000010327
MSigDB hallmark inflammatory response	ENSG00000115353
MSigDB hallmark inflammatory response	ENSG00000169836
MSigDB hallmark inflammatory response	ENSG00000112493
MSigDB hallmark inflammatory response	ENSG00000206208
MSigDB hallmark inflammatory response	ENSG00000206281
MSigDB hallmark inflammatory response	ENSG00000231925
MSigDB hallmark inflammatory response	ENSG00000236490
MSigDB hallmark inflammatory response	ENSG00000102265
MSigDB hallmark inflammatory response	ENSG00000174125
MSigDB hallmark inflammatory response	ENSG00000137462
MSigDB hallmark inflammatory response	ENSG00000164342
MSigDB hallmark inflammatory response	ENSG00000123610
MSigDB hallmark inflammatory response	ENSG00000028137
MSigDB hallmark inflammatory response	ENSG00000049249
MSigDB hallmark inflammatory response	ENSG00000121858
MSigDB hallmark inflammatory response	ENSG00000181634
MSigDB hallmark inflammatory response	ENSG00000125657
MSigDB hallmark inflammatory response	ENSG00000146242
MSigDB hallmark inflammatory response	ENSG00000283085
MSigDB hallmark inflammatory response	ENSG00000146469
